path	/ui/dialogs/menu_op/summaries						
op	en	zh-TW	ja-JP	fr	ru	es	eo
DAT Merge	The Merged DAT is a multi-input DAT which merges the text or tables from the input DATs together.	Merged DAT是一個多輸入DAT，它將來自輸入DAT的文本或表合併在一起。	併合ＤＡＴは、入力ＤＡＴからのテキストまたは表を一緒に併合する多入力ＤＡＴである。	Le DAT est issu de la fusion d'un DAT multi-entrées qui fusionne le texte ou les tables de DATs d'entrée en même temps.	Merged ДАТ является множество входов DAT, который объединяет текст или таблицы из входной ДАТы вместе.	El DAT DAT combinada es un multi-entrada que se fusiona el texto o las tablas de los archivos DAT de la señal de entrada.	La kunfalis DAT estas mult enigo DAT kiu kunfandas la teksto aŭ tabloj de la enigo DATs kune.
DAT Null	Has no effect on the data. It is an instance of the DAT connected to its input. The Null DAT is often used when making reference to a DAT network, allowing new DATs to be added to the network (upstream) without the need to update the reference.	對數據沒有影響。它是連接到其輸入的DAT的實例。 Null DAT通常在引用DAT網絡時使用，允許將新DAT添加到網絡（上游），而無需更新引用。	データには影響しません。これは、その入力に接続されているDATのインスタンスです。 Null DATは、DATネットワークを参照するときによく使用され、参照を更新しなくても新しいDATをネットワーク（アップストリーム）に追加できるようにします。	N'a pas d'effet sur les données. Il est une instance de la DAT reliée à son entrée. Le Null DAT est souvent utilisé lorsqu'il est fait référence à un réseau DAT, ce qui permet à de nouveaux fichiers DAT ajoutés au réseau (en amont) sans qu'il soit nécessaire de mettre à jour la référence.	Не имеет никакого влияния на данные. Это экземпляр DAT подключен к его входу. Нуль DAT часто используется при создании ссылки на сеть DAT, позволяя новое DATs быть добавлено к сети (вверх по течению) без необходимости обновления ссылок.	No tiene ningún efecto sobre los datos. Es una instancia de la DAT conectado a su entrada. El Null DAT se utiliza a menudo cuando se haga referencia a una red DAT, lo que permite nuevos DAT que se añaden a la red (aguas arriba) sin la necesidad de actualizar la referencia.	Havas efikon al la datumoj. Estas ekzemplo de la DAT konektita al ĝia enigo. La Nula DAT estas ofte uzita kiam farante referenco al DAT reto, permesante novaj DATs esti aldonitaj al la reto (kontraŭflue) sen la bezono por ĝisdatigi la referenco.
DAT OP Find	Traverses the component hierarchy starting at one component and looking at all nodes within that component, and outputs a table with one row per node that matches criteria the user chooses.	遍歷組件層次結構，從一個組件開始，查看該組件中的所有節點，並輸出一個表，每個節點有一行符合用戶選擇的條件。	1つのコンポーネントからそのコンポーネント内のすべてのノードを調べてコンポーネントの階層をたどり、ユーザーが選択した基準に一致するノードごとに1行のテーブルを出力します。	Traverse la hiérarchie composant à partir de l'une des composantes et en regardant tous les noeuds au sein de ce composant, et délivre en sortie une table avec une ligne par le noeud qui correspond à l'utilisateur choisit critères.	Траверсы компонента иерархии, начиная с одного компонентом и смотрим на все узлы в пределах этого компонента, и выводит таблицу с одной строкой на узел, который соответствует критериям пользователь выбирает.	Atraviesa la jerarquía de componentes a partir de un componente y mirando a todos los nodos dentro de ese componente, y da salida a una mesa con una fila por cada nodo que coincide con los criterios de que el usuario elija.	Trairas la komponanto hierarkio komencante je unu komponanto kaj rigardis ĉiuj nodoj ene de tiu komponanto, kaj eligas tablo per unu vico po nodo kiu kongruas kriterioj la uzanto elektas.
DAT Out	Is used to create a DAT output in a Component. Component outputs are positioned alphanumerically on the right side of the Component.	用於在Component中創建DAT輸出。組件輸出以字母數字的形式定位在組件的右側。	Component内にDAT出力を作成するために使用されます。コンポーネント出力は、コンポーネントの右側に英数字で配置されています。	Il est utilisé pour créer une sortie DAT dans un composant. Sorties composantes sont positionnées sur le côté alphanumériquement droit du composant.	Используется для создания выходного сигнала DAT в компоненте. Компонентные выходы расположены в алфавитном на правой стороне компоненты.	Se utiliza para crear una salida de DAT en un componente. salidas de componentes están posicionados de forma alfanumérica en el lado derecho del componente.	Estas uzata por krei DAT produktadon en Component. Komponanto eligoj estas poziciigita alphanumerically sur la dekstra flanko de la Constituyente.
DAT Perform	Logs various performance times in a Table DAT format. These benchmarks are similar to those reported by the Performance Monitor .	以表DAT格式記錄各種性能時間。這些基準測試與性能監視器報告的基準測試類似。	さまざまなパフォーマンス時間をTable DAT形式で記録します。これらのベンチマークは、パフォーマンスモニタによって報告されたものと似ています。	Journaux diverses fois de performance dans un format DAT tableau. Ces points de référence sont semblables à celles rapportées par le moniteur de performance.	Бревна различных моментов времени производительности в табличном формате DAT. Эти критерии аналогичны тем, которые сообщили в Monitor Performance.	Registros diversos tiempos de rendimiento en un formato de tabla DAT. Estos puntos de referencia son similares a los reportados por el Monitor de rendimiento.	Registroj diversaj elfaro fojojn en Tablo DAT formato. Ĉi tiuj normoj estas similaj al tiuj raportitaj de la Performance Monitoro.
DAT Reorder	Allows you to reorder the rows and columns of the input table.  You can also use In Specified Order option to get duplicate copies of rows and columns.	允許您重新排序輸入表的行和列。您還可以使用“在指定順序”選項獲取行和列的重複副本。	入力テーブルの行と列を並べ替えることができます。 [指定順]オプションを使用して、行と列の複製コピーを取得することもできます。	vous permet de réorganiser les lignes et les colonnes de la table d'entrée. Vous pouvez également utiliser l'option en ordre indiqué pour obtenir des copies des lignes et des colonnes.	Позволяет изменить порядок строк и столбцов таблицы ввода. Вы можете также использовать в указанной опции для того, чтобы получить дубликаты строк и столбцов.	Le permite reordenar las filas y columnas de la tabla de entrada. También puede utilizar la opción En orden especificado para obtener copias duplicadas de filas y columnas.	Permesas reordigi la vicoj kaj kolumnoj de la enigo tabelo. Vi povas ankaŭ uzi En indikita Ordo opcion por ricevi duplikatajn kopioj de vicoj kaj kolumnoj.
DAT Script	Runs a script each time the Script DAT cooks.  By default, the Script DAT is created with a docked DAT that contains three Python methods: cook, onPulse, and setupParameters .	每次腳本DAT烹飪時運行腳本。默認情況下，腳本DAT是使用包含三種Python方法的停靠DAT創建的：cook，onPulse和setupParameters。	スクリプトDATが作成されるたびにスクリプトを実行します。デフォルトでは、スクリプトDATは、cook、onPulse、およびsetupParametersの3つのPythonメソッドを含むドッキングされたDATを使用して作成されます。	Exécute un script chaque fois que la cuisine DAT Script. Par défaut, le DAT Script est créé avec un DAT accosté qui contient trois méthodes Python: cuisinier, onPulse et setupParameters.	Запускает сценарий каждый раз, когда скрипт DAT варит. По умолчанию скрипт DAT создается с пристыкован DAT, который содержит три метода Python: варят, onPulse и setupParameters.	Se ejecuta un script cada vez que el script DAT cocina. Por defecto, el script DAT se crea con un DAT atracado que contiene tres métodos de Python: cocinero, onPulse y setupParameters.	Lanĉas skribo ĉiufoje la skribsistemoj DAT kuiras. Defaŭlte, la skribsistemoj DAT estas kreita kun garaĝis DAT kiu enhavas tri Python metodoj: kuiri, onPulse kaj setupParameters.
DAT Select	Allows you to fetch a DAT from any other location in TouchDesigner, and to select any subset of rows and columns if it is a table.	允許您從TouchDesigner中的任何其他位置獲取DAT，並選擇行和列的任何子集（如果它是表）。	TouchDesignerの他の場所からDATを取得し、それがテーブルの場合は行と列のサブセットを選択できます。	vous permet d'aller chercher un DAT de tout autre endroit TouchDesigner, et de sélectionner un sous-ensemble de lignes et de colonnes si elle est une table.	Позволяет вам извлекать DAT из любого другого места в TouchDesigner, и выбрать любое подмножество строк и столбцов, если это стол.	Le permite buscar un DAT desde cualquier otra ubicación en TouchDesigner, y permite seleccionar cualquier subconjunto de filas y columnas si se trata de una mesa.	Permesas alportos DAT de ajna alia loko en TouchDesigner kaj elekti ajnan subaron de vicoj kaj kolumnoj, se ĝi estas tablo.
DAT Sort	Will sort table DAT data by row or column.	將按行或列對錶DAT數據進行排序。	テーブルDATデータを行または列でソートします。	Triera table de données DAT par ligne ou colonne.	Будет ли сортировать данные таблицы DAT по строке или столбце.	Clasificará datos de la tabla DAT por fila o columna.	Ĉu ordigi tabelo DAT datumoj de vico aŭ kolumno.
DAT Substitute	Changes the cells of the incoming DAT using pattern matching and substitution strings. It outputs a table with the same number of rows and columns.	使用模式匹配和替換字符串更改傳入DAT的單元格。它輸出一個具有相同行數和列數的表。	パターンマッチングと置換文字列を使用して、着信DATのセルを変更します。同数の行と列を持つテーブルを出力します。	Modifie les cellules du DAT entrant en utilisant des chaînes de correspondance et de substitution modèle. Il affiche une table avec le même nombre de lignes et de colonnes.	Изменения клетки входящего DAT помощью сопоставления с образцом и подстановки строк. Он выводит таблицу с тем же количеством строк и столбцов.	Cambia las células de la DAT entrante utilizando cuerdas coincidencia de patrones y de sustitución. Se da salida a una tabla con el mismo número de filas y columnas.	Ŝanĝas la ĉelojn de la alvenanta DAT uzante ŝablona rekono kaj anstataŭajn ĉenojn. Ĝi eligas tablo kun la sama nombro da vicoj kaj kolumnoj.
DAT Switch	Is a multi-input operator which lets you choose which input is output by using the Input parameter.	是一個多輸入操作符，允許您使用Input參數選擇輸出哪個輸入。	Inputパラメーターを使用してどの入力を出力するかを選択できる多入力演算子です。	Est un opérateur multi-entrée qui vous permet de choisir l'entrée est sortie en utilisant le paramètre d'entrée.	Является множество входов и оператор, который позволяет выбрать, какой вход выводится с помощью параметра Input.	Es un operador de entrada múltiple que le permite elegir qué entrada se emite mediante el parámetro de entrada.	Estas mult enigo operatoro kiu permesas elekti kion enigo estas eligo uzante la Eniro parametron.
DAT Transpose	Converts rows into columns. The number of rows becomes the number of columns, and vice versa.	將行轉換為列。行數變為列數，反之亦然。	行を列に変換します。行数が列数になり、その逆も同様です。	Convertit les lignes en colonnes. Le nombre de lignes devient le nombre de colonnes, et vice versa.	Преобразование строки в столбцы. Число строк становится числом столбцов, и наоборот.	Convierte filas en columnas. El número de filas se convierte en el número de columnas, y viceversa.	Konvertas vicoj en kolumnoj. La nombro de vicoj iĝas la nombron de kolumnoj, kaj inverse.
DAT Art-Net	Polls and lists all devices on the network.	輪詢並列出網絡上的所有設備。	ネットワーク上のすべてのデバイスをポーリングして一覧表示します。	Sondages et répertorie tous les périphériques du réseau.	Опросы и список всех устройств в сети.	Las encuestas y listas de todos los dispositivos de la red.	Enketoj kaj listoj ĉiuj mekanismoj en la reto.
DAT CHOP Execute	Will run its script when the values of a specified CHOP change. You can specify which channels to look at, and trigger based on their values changing in various ways.	將在指定CHOP的值更改時運行其腳本。您可以指定要查看的通道，並根據其值以各種方式更改來觸發。	指定したCHOPの値が変更されたときにスクリプトを実行します。どのチャンネルを見るかを指定し、さまざまな方法で変化するそれらの値に基づいてトリガーすることができます。	Courra son script lorsque les valeurs d'un changement CHOP spécifié. Vous pouvez spécifier les canaux à regarder, et déclencher en fonction de leurs valeurs changeantes de diverses manières.	Будет запущен сценарий, когда значения указанного изменения ЧОП. Вы можете указать, какие каналы смотреть, и вызвать на основе их значения изменяются в разных направлениях.	Seguirá su guión cuando los valores de un cambio CHOP especificado. Puede especificar qué canales a la vista, y desencadenar la base de sus valores cambiantes de diversas maneras.	Ĉu kuri ĝia skribo, kiam la valoroj de specifa hakas ŝanĝon. Vi povas specifi kiujn kanalojn por rigardi, kaj deĉenigi bazita sur iliaj valoroj ŝanĝas diversmaniere.
DAT CHOP to	Allows you to get CHOP channel values into a DAT in table format.	允許您以表格格式將CHOP通道值轉換為DAT。	CHOPチャネル値をテーブル形式のDATに入れることができます。	vous permet d'obtenir des valeurs de canal CHOP dans un DAT sous forme de tableau.	Позволяет получить значение каналов Чопа в DAT в табличном формате.	Le permite obtener valores de los canales de CHOP en una DAT en formato de tabla.	Permesas akiri hakas kanalo valoroj en DAT en tablo formato.
DAT Clip	Contains information about motion clips that are manipulated by a Clip CHOP and Clip Blender CHOP . The Clip DAT can hold any command or script text, which can be triggered based on the settings on the Execute parameter page (This is where the Clip DAT and the Text DAT are different).	包含有關由Clip CHOP和Clip Blender CHOP操縱的運動剪輯的信息。 Clip DAT可以保存任何命令或腳本文本，可以根據Execute參數頁面上的設置觸發（這是Clip DAT和Text DAT不同的地方）。	Clip CHOPおよびClip Blender CHOPによって操作されるモーションクリップに関する情報が含まれています。 Clip DATは、Executeパラメータページの設定に基づいて起動できる任意のコマンドまたはスクリプトテキストを保持できます（これはClip DATとText DATが異なる場所です）。	Contient des informations sur les clips de mouvement qui sont manipulés par un Clip CHOP et des Clip Blender CHOP. Le DAT Clip peut contenir tout texte de commande ou d'un script, qui peut être déclenché en fonction des paramètres de la page des paramètres d'exécution (Ceci est où le DAT Clip et le DAT texte sont différentes).	Содержит информацию о движении клипов, которые манипулируют с помощью клипа CHOP и клип Blender ЧОП. Клип DAT может содержать любую команду или скрипт текст, который может быть запущен на основе настроек на странице Execute параметров (Это где клип DAT и текст DAT разные).	Contiene información sobre clips que son manipuladas por un CHOP clip y el clip Blender CHOP. El DAT clip puede contener cualquier texto de comandos o script, que puede ser activado en base a la configuración de la página Ejecutar parámetro (Aquí es donde el DAT DAT Clip y el texto son diferentes).	Enhavas informojn pri moviĝo klipoj kiuj manipulas de Klipo kotleton kaj Clip Blender kotleton. La Clip DAT povas teni ajnan ordonon aŭ skribo teksto, kiu povas esti deĉenigita surbaze de la agordojn en la Execute parametron paĝo (tio estas kie la Klipo DAT kaj la Teksto DAT estas malsamaj).
DAT DAT Execute	Monitors another DAT's contents and runs a script when those contents change. The other DAT is usually a table.	監視另一個DAT的內容，並在這些內容髮生變化時運行腳本。另一個DAT通常是一張桌子。	他のDATのコンテンツを監視し、それらのコンテンツが変更されたときにスクリプトを実行します。他のDATは通常テーブルです。	Surveille le contenu d'un autre DAT et exécute un script lorsque ces contenus changent. L'autre DAT est généralement une table.	Мониторы содержания другого Dat и запускает скрипт, когда изменить это содержимое. Другой DAT, как правило, таблица.	Supervisa el contenido de otra DAT y se ejecuta un script cuando esos contenidos cambian. El otro DAT es por lo general una mesa.	Monitoroj alia DAT la enhavon kaj kuras skripto kiam tiuj enhavon ŝanĝi. La alia DAT kutime tablo.
DAT Error	Lists the most recent TouchDesigner errors in its FIFO (first in/first out) table. You can filter our messages using pattern matching on some of the columns like Severity, Type and path of the node containing the error.	列出其FIFO（先進/先出）表中最新的TouchDesigner錯誤。您可以使用某些列上的模式匹配來過濾我們的消息，例如Severity，Type和包含錯誤的節點的路徑。	FIFO（先入れ先出し）テーブル内の最新のTouchDesignerエラーを一覧表示します。 Severity、Type、エラーを含むノードのパスなど、一部の列でパターンマッチングを使用してメッセージをフィルタリングできます。	Listes les plus récentes erreurs de TouchDesigner dans son FIFO (premier entré / premier sorti) table. Vous pouvez filtrer nos messages en utilisant filtrage sur certaines des colonnes comme la gravité, le type et le chemin du nœud contenant l'erreur.	Списки самых последних ошибок TouchDesigner в FIFO (первым вошел / первый вышел) таблицы. Вы можете отфильтровать сообщения, используя шаблон соответствия на некоторые из столбцов, как Серьезность, тип и путь узла, содержащего ошибку.	Muestra los más recientes errores TouchDesigner en su FIFO (primero en entrar / primero en salir) mesa. Puedes realizar un filtrado nuestros mensajes a través de patrones sobre algunas de las columnas como gravedad, el tipo y la ruta del nodo que contiene el error.	Listoj la plej lastatempa TouchDesigner erarojn en lia FIFO (unue en / unua el) tablo. Vi povas filtri niajn mesaĝojn uzante skemo egalante sur kelkaj de la kolumnoj kiel severidad, Tipo kaj vojo de la nodo enhavas la eraron.
DAT EtherDream	Polls and lists all EtherDream devices connected. See also: EtherDream CHOP, Scan CHOP.	輪詢並列出所有連接的EtherDream設備。另請參見：EtherDream CHOP，掃描CHOP。	接続されているすべてのEtherDreamデバイスをポーリングして一覧表示します。 EtherDream CHOP、Scan CHOPも参照してください。	Sondages et répertorie tous les périphériques connectés de EtherDream. Voir aussi: EtherDream CHOP, balayage CHOP.	Опросы и перечисляет все EtherDream устройство подключено. Смотрите также: EtherDream ЧОП, Scan ЧОП.	Las encuestas y listas de todos los dispositivos conectados. EtherDream Ver también: EtherDream CHOP, CHOP Scan.	Enketoj kaj listoj ĉiuj EtherDream aparatoj konektita. Vidu ankaŭ: EtherDream haki, Scan kotleton.
DAT Execute	Lets you edit scripts and run them based on conditions. It can be executed at the start or end of every frame, or at the start or end of the TouchDesigner process.	允許您編輯腳本並根據條件運行它們。它可以在每個幀的開始或結束時執行，也可以在TouchDesigner進程的開始或結束時執行。	スクリプトを編集して、条件に基づいて実行できます。すべてのフレームの開始時または終了時、またはTouchDesignerプロセスの開始時または終了時に実行できます。	Permet de modifier les scripts et les exécuter en fonction des conditions. Il peut être exécuté au début ou à la fin de chaque trame, ou au début ou à la fin du processus TouchDesigner.	Позволяет редактировать скрипты и запускать их в зависимости от условий. Он может быть выполнен в начале или в конце каждого кадра, либо в начале или в конце процесса TouchDesigner.	Le permite editar las secuencias de comandos y ejecutarlos sobre la base de condiciones. Se puede ejecutar en el inicio o al final de cada cuadro, o al principio o al final del proceso de TouchDesigner.	Ebligas ŝanĝi skriptoj kaj kuri ilin surbaze kondiĉoj. Ĝi povas esti ekzekutita je la komenco aŭ fino de ĉiu kadro, aŭ ĉe la komenco aŭ fino de la TouchDesigner procezo.
DAT FIFO	The FIFO DAT maintains a user-set maximum number of rows in a table. You add rows using the appendRow() method found in DAT Class. When its capacity is reached, the first row is removed. After the maximum number of rows is reached, the oldest row is discarded when a new row is added.	FIFO DAT維護表中用戶設置的最大行數。您可以使用DAT類中的appendRow（）方法添加行。達到其容量時，將刪除第一行。達到最大行數後，添加新行時將丟棄最舊的行。	FIFO DATは、テーブル内のユーザー設定の最大行数を維持します。 DATクラスにあるappendRow（）メソッドを使用して行を追加します。その容量に達すると、最初の行が削除されます。最大行数に達すると、新しい行が追加されたときに最も古い行が破棄されます。	Le DAT FIFO conserve un nombre maximum de lignes définie par l'utilisateur dans un tableau. Vous ajoutez des lignes en utilisant la méthode appendRow () trouvé dans DAT classe. Lorsque sa capacité est atteinte, la première ligne est supprimée. Une fois le nombre maximum de lignes est atteinte, la plus ancienne ligne est mis au rebut lorsqu'une nouvelle ligne est ajoutée.	FIFO-DAT поддерживает заданный пользователем максимальное количество строк в таблице. Добавление строк с помощью метода appendRow () найден в DAT-класса. Когда его мощность будет достигнута, первая строка удаляется. После того, как максимальное число строк будет достигнуто, старейшая строка отбрасываются при добавлении новой строки.	El FIFO DAT mantiene un número máximo establecido por el usuario de filas en una tabla. Agrega filas utilizando el método appendRow () que se encuentra en DAT clase. Cuando se alcanza su capacidad, se retira la primera fila. Después de que se alcanza el número máximo de filas, la fila más antigua se descarta cuando se añade una nueva fila.	La FIFO DAT subtenas uzanto-aro maksimuma nombro de vicoj en tabelo. Vi aldonas vicoj uzante la appendRow () metodo troviĝas en DAT Klaso. Kiam lia kapablo estas atingita, la unua vico estas forigitaj. Post la maksimuma nombro de vicoj estas atingita, la plej malnova vico estas forĵetita kiam nova vico estas aldonita.
DAT Indices	Creates a series of numbers in a table, ranging between the start and end values.  These values are suitable for display along a graph horizontal or vertical axis.	在表中創建一系列數字，範圍在起始值和結束值之間。這些值適合沿圖表水平軸或垂直軸顯示。	開始値と終了値の間の範囲で、テーブル内に一連の数値を作成します。これらの値は、グラフの水平軸または垂直軸に沿って表示するのに適しています。	Crée une série de nombres dans une table, comprise entre les valeurs de début et de fin. Ces valeurs sont appropriées pour l'affichage le long d'un diagramme axe horizontal ou vertical.	Создает ряд чисел в таблице, в диапазоне между значениями начальной и конечной. Эти значения являются подходящими для отображения вдоль графика горизонтальной или вертикальной оси.	Crea una serie de números en una tabla, que oscila entre los valores inicial y final. Estos valores son adecuados para su visualización a lo largo de un eje horizontal o vertical gráfico.	Kreas serion de nombroj en tabelo, kiu iras inter la komenca kaj fina valorojn. Ĉi tiuj valoroj estas taŭga por display kune grafo horizontala aŭ vertikala akso.
DAT Keyboard In	Lists the most recent key events in its FIFO (first in/first out) table. There is one row for every key press down and every key-up, including Shift, Ctrl and Alt, with distinction between left and right side.	列出其FIFO（先進/先出）表中的最新關鍵事件。每按一次按鍵和每個按鍵都有一行，包括Shift，Ctrl和Alt，區分左右兩側。	FIFO（先入れ先出し）テーブル内の最新の主要イベントをリストします。 Shiftキー、Ctrlキー、Altキーなど、キーを押すたびにキーを押すたびに1行ずつ表示され、左右を区別できます。	Listes les plus récents événements clés dans son FIFO (premier entré / premier sorti) table. Il y a une ligne pour chaque pression de touche vers le bas et tous des clés, y compris Maj, Ctrl et Alt, avec distinction entre le côté gauche et à droite.	Списки самых последних ключевых событий в его FIFO (первый в / первый из) таблицы. Существует одна строка для каждого нажатия клавиши вниз и все лады вверх, включая Shift, Ctrl и Alt, с отличием между левой и правой стороны.	Muestra los más recientes acontecimientos clave en su FIFO (primero en entrar / primero en salir) mesa. Hay una fila para cada pulsación de tecla hacia abajo y todas las teclas arriba, incluyendo Shift, Ctrl y Alt, la distinción entre izquierda y derecha.	Listoj la plej lastatempa ŝlosilo okazaĵoj en lia FIFO (unue en / unua el) tablo. Ekzistas unu vicon por ĉiu ŝlosilo gazetaro malsupren kaj ĉiu klavo-supren, inkluzive Shift, Ctrl kaj Alt, kun distingo inter maldekstra kaj dekstra flanko.
DAT MIDI Event	Logs all MIDI messages coming into TouchDesigner from all MIDI devices. It outputs columns in a table format: message, type, channel, index, value.	從所有MIDI設備記錄進入TouchDesigner的所有MIDI信息。它以表格格式輸出列：消息，類型，通道，索引，值。	すべてのMIDI機器からTouchDesignerに入ってくるすべてのMIDIメッセージを記録します。メッセージ、タイプ、チャネル、インデックス、値の表形式で列を出力します。	Journaux tous les messages MIDI entrée en TouchDesigner de tous les appareils MIDI. Il émet des colonnes dans un format de table: un message, le type, le canal, l'indice, la valeur.	Регистрирует все MIDI-сообщения, поступающие в TouchDesigner со всех MIDI-устройств. Он выводит столбцы в виде таблицы: сообщение, тип канала, индекс, значение.	Registra todos los mensajes MIDI que entra en TouchDesigner de todos los dispositivos MIDI. Se da salida a las columnas en un formato de tabla: mensaje, el tipo de canal, índice, valor.	Registroj ĉiuj MIDI reagoj en TouchDesigner de ĉiuj MIDI aparatoj. Ĝi eligas kolumnoj en tabelo formato: mesaĝon, tipo, kanalo, indekso, valoro.
DAT MIDI In	Logs all MIDI messages coming into TouchDesigner from a specified MIDI device. It outputs columns in a table format - message, type, channel, index, value.	從指定的MIDI設備記錄進入TouchDesigner的所有MIDI信息。它以表格格式輸出列 - 消息，類型，通道，索引，值。	指定されたMIDIデバイスからTouchDesignerに入ってくるすべてのMIDIメッセージをログに記録します。メッセージ、タイプ、チャネル、インデックス、値など、列をテーブル形式で出力します。	Journaux tous les messages MIDI venant en TouchDesigner à partir d'un appareil MIDI spécifié. Il émet des colonnes dans un format de table - message, le type, le canal, l'indice, la valeur.	Регистрирует все MIDI-сообщения, поступающие в TouchDesigner из указанного MIDI-устройства. Он выводит столбцы в формате таблицы - сообщение, тип канала, индекс, значение.	Registra todos los mensajes MIDI que entra en TouchDesigner desde un dispositivo MIDI especificado. Se da salida a las columnas en un formato de tabla - mensaje, el tipo de canal, índice, valor.	Registroj ĉiuj MIDI reagoj en TouchDesigner el specifa MIDI aparato. Ĝi eligas kolumnoj en tabelo formato - mesaĝo, tipo, kanalo, indekso, valoro.
DAT Monitors	Is a table of data about all currently detected monitors with information on the resolution, screen positioning, monitor name and description, and a flag indicating whether it is a primary monitor or not.	是關於所有當前檢測到的監視器的數據表，其中包含有關分辨率，屏幕定位，監視器名稱和描述的信息，以及指示其是否為主監視器的標誌。	現在検出されているすべてのモニターに関するデータの表で、解像度、画面の位置、モニターの名前と説明、およびプライマリモニターかどうかを示すフラグが含まれています。	Est-ce un tableau de données sur tous les moniteurs actuellement détectés avec des informations sur la résolution, le positionnement de l'écran, surveiller le nom et la description, et un drapeau indiquant s'il est un moniteur principal ou non.	Является ли таблица данных о всех обнаруженных в настоящее время мониторы с информацией о разрешении, положение на экране, отслеживать название и описание, а также флаг, указывающий, является ли это основной монитор или нет.	Es una tabla de datos sobre todos los monitores detectados actualmente con información sobre la resolución, posición de pantalla, el nombre del monitor y la descripción, y una bandera que indica si se trata de un monitor principal o no.	Estas tabulo de datumoj pri ĉiuj aktuale detektitaj monitoroj kun informoj pri la rezolucio, ekrano investon, prigardi nomon kaj priskribon kaj flagon indikas ĉu ĝi estas ĉefa monitoro aŭ ne.
DAT Multi Touch In	Is used for receiving messages and events from the Windows 7+ standard multi-touch API. It captures all the messages, where each new message changes the table it outputs.	用於從Windows 7+標準多點觸控API接收消息和事件。它捕獲所有消息，其中每個新消息更改其輸出的表。	Windows 7以降の標準マルチタッチAPIからメッセージやイベントを受信するために使用されます。それはすべてのメッセージをキャプチャします。それぞれの新しいメッセージはそれが出力するテーブルを変更します。	Il est utilisé pour recevoir des messages et des événements de l'API multi-touch Windows standard 7+. Il capture tous les messages, où chaque nouveau message change la table il émet.	Используется для приема сообщений и событий из Windows, 7+ стандартных мультитач API. Он фиксирует все сообщения, где каждое новое сообщение изменяет таблицу он выдает.	Se utiliza para recibir los mensajes y eventos de la API multi-táctil estándar de Windows 7+. Captura todos los mensajes, en los que cada nuevo mensaje cambia la tabla que da salida.	Estas uzata por ricevi mesaĝojn kaj okazaĵojn de la Windows 7 + normo multitáctil API. Ĝi kaptas ĉiujn mesaĝojn, kie ĉiu nova mesaĝo ŝanĝas la tablo ĝi eligas.
DAT OP Execute	Runs a script when the state of an operator changes. OP Execute DATs are created with default python method placeholders.	運算符狀態更改時運行腳本。 OP Execute DAT是使用默認的python方法佔位符創建的。	オペレータの状態が変化したときにスクリプトを実行します。 OP Execute DATは、デフォルトのpythonメソッドプレースホルダを使用して作成されます。	Exécute un script lorsque l'état d'un changement d'opérateur. OP Execute DATs sont créés avec des espaces réservés méthode python par défaut.	Запускает сценарий, когда состояние при смене одного оператора. OP Execute DATs создаются с помощью метода питона по умолчанию заполнителей.	Se ejecuta un script cuando el estado de un cambio de operador. OP Ejecutar DAT se crean con marcadores de posición por defecto del método de pitón.	Lanĉas skribo kiam la stato de operatoro ŝanĝoj. OP Execute DATs estas kreitaj kun defaŭlta python metodo anstataŭaĵojn.
DAT OSC In	Receives and parses full Open Sound Control packets using UDP.  Each packet is parsed and appended as a row in the DAT's table.	使用UDP接收和解析完整的Open Sound Control數據包。解析每個數據包並將其作為一行附加到DAT表中。	UDPを使用して完全なOpen Sound Controlパケットを受信して​​解析します。各パケットは解析され、DATのテーブルの行として追加されます。	Reçoit et analyse complète Ouvrir les paquets de contrôle audio à l'aide UDP. Chaque paquet est analysé et ajouté une ligne dans la table du DAT.	Получает и обрабатывает полные пакеты Open Sound Control с помощью UDP. Каждый пакет обрабатывается и добавляется в виде строки в таблице на DAT в.	Recibe y analiza completos paquetes Open Sound Control utilizando UDP. Cada paquete se analiza y se añade como una fila en la tabla de la DAT.	Ricevas kaj parses plena Open Sono Kontrolo pakoj uzante UDP. Ĉiu pakaĵo estas analizita kaj aldonita kiel vico en la DAT la tablo.
DAT OSC Out	Is used for sending information over a OSC connection between remotely located computers. Use the send Command to initiate the data output.	用於通過遠程計算機之間的OSC連接發送信息。使用send命令啟動數據輸出。	離れた場所にあるコンピュータ間のOSC接続を介して情報を送信するために使用されます。データ出力を開始するには、sendコマンドを使用してください。	Il est utilisé pour envoyer des informations sur une connexion OSC entre les ordinateurs situés à distance. Utilisez l'envoi de commande pour lancer la sortie de données.	Используется для передачи информации через OSC связи между удаленно расположенными компьютерами. Использование команды посыла инициировать вывод данных.	Se utiliza para el envío de información a través de una conexión OSC entre ordenadores situados a gran distancia. Utilice el comando Enviar para iniciar la salida de datos.	Estas uzata por sendi informon super OSC ligo inter remotamente lokita komputiloj. Uzu la alsendota Komando per kiu okazu la datumoj eligo.
